"day", "temperature"
"Apr 30", "49"
"May 1", "75"
"May 2", "68"
"May 3", "67"
"May 4", "64"
"May 5", "63"
"May 6", "64"
"May 7", "63"
"May 8", "65"
"May 9", "69"
