CAMIS,DBA,BORO,CUISINECODE,SCORE,CURRENTGRADE
50001825,SHAHI KABAB & CURRY RESTAURANT,2,44,9,A
50001829,HANGAR BAR & GRILL,4,77,12,A
50001837,THE PENINSULA NEW YORK/ CLEMENT/ THE GOTHAM LOUNGE/ SALON DE NING,1,03,9,A
50001846,LA CREPE ET LA VIE,3,35,11,A
50001853,DUNKIN DONUTS,1,29,12,A
50001857,SUNSET BAGELS,3,03,9,A
50001863,CAUCASIA,3,67,26,B
50001864,Star Coffee Shop,3,55,11,A
41676561,EVERGREEN ASIAN CUISINE,1,20,13,A
41676577,THE CUTTING ROOM,1,03,9,A
41676858,SUBWAY,1,69,4,A
41676908,EL MEXICANO RESTAURANTE & CAFE,3,81,10,A
41676938,SUNSET DELI & GRILL,3,27,12,A
41655550,ETHOS GALLERY,1,38,8,A
50001261,TACOMBI AT FONDA NOLITA,1,55,10,A
50001270,GOLDEN KRUST RESTAURANT,3,17,12,A
50001273,PINKBERRY,1,43,22,B
50001274,EMPIRE RESTAURANT,3,20,13,A
50001283,PIE FACE,1,08,10,A
50001297,savanah city hookah,3,57,3,A
41670464,BLEU ELE,1,14,5,A
41680080,LT BURGER,1,03,10,A
41680201,EMPIRE EXPRESS,4,20,37,Z
50001865,IT'Z ALL 4 U,4,17,49,Z
50001871,GREEK GRILL,4,99,12,A
50001872,MIDNIGHT LOUNGE,4,56,12,A
50001877,RIZZO FINE PIZZA,1,62,13,A
50001886,Wing Luck Restaurant,3,20,13,A
50001898,BARLEY & GRAIN,1,03,26,Z
50001906,NEW BKHATAR AFGHAN HALAL KABAB & GYRO KING,4,01,11,A
50001907,NEEROB,2,09,11,A
50001909,SUBWAY,2,70,11,A
50001926,168 FRIEND'S GARDEN,3,20,22,B
50001312,MEW,1,49,19,Z
50001316,RED BERRY CUISINE,3,17,10,A
50001324,DUNKIN DONUTS,4,29,13,A
50001334,HARDEE,3,20,13,A
50001337,georges-andre vintage cafe,3,35,5,A
50001342,AH2 ICE TEA,4,20,9,A
50001344,PIECE OF CAKE,3,08,11,A
50001348,Nomura cafeteria( 25 th floor),1,03,12,A
50001350,Noumura Cafe ( 5th floor Noumura Cafe),1,03,12,A
41677179,JR BELLA'S PIZZA & PASTA 2,3,48,14,B
41656246,NEW MARIOS PIZZERIA,3,62,9,A
41656299,DRAGON CHINESE RESTAURANT,2,20,4,A
50001928,pret a manger,1,03,6,A
50001939,Panorama of My Silence-Heart,4,14,9,A
50001948,blooms,1,03,10,A
50001949,MARIOS PIZZERIA & CAFFE,4,63,12,A
50001957,RUSTICO,1,14,12,A
50001965,VENTURO OSTERIA &WINE BAR,4,48,10,A
50001970,CROWN FRIED CHICKEN,3,03,15,B
41670561,MARIO'S PIZZERIA,4,62,8,A
41670903,YO ANGEL BAKERY,2,77,9,A
41680592,SPICY VILLAGE,1,20,5,A
41680800,JO JUICE BAR,3,51,13,A
50001363,EL BRACERO,1,77,10,A
50001370,TACO SERVICE EN WILLIAMSBURG,3,55,10,A
50001373,MEI LAI WAH COFFEE SHOP,1,20,11,A
50001399,subway sandwichs  and salad 57787,4,69,3,A
50001400,farafina cafe and lounge,1,17,7,A
50001401,cervecceria Havemeyer,3,99,10,A
50001977,IL FORNO/IRON BAR,1,63,10,A
50001979,JOHN'S FRIED CHICKEN,1,53,14,Z
50001991,GREGORY'S COFFEE,1,14,9,A
50001992,SING WEN RESTAURANT,3,20,11,A
50001995,JESUS TACO,1,81,2,A
50002001,HALAL KITCHEN,4,20,11,A
50002004,SICHUAN CUISINE,4,20,24,B
41656654,TAKARA SUSHI,4,49,9,A
50001412,GREEN VEGETARIAN RESTAURANT,4,20,19,B
50001420,99 CENT FRESH PIZZA,1,62,2,A
50001430,FOO-HING KITCHEN,2,20,21,B
50001432,jd indian cuisine,4,44,12,A
50001438,INSOMNIA COOKIES,1,08,,A
50001441,WAYSIDE,1,03,9,A
50001446,BENTO SUSHI & NOODLES,1,49,12,A
41649356,DUNKIN DONUTS/HUDSON NEWSG,1,03,10,A
41670928,MARK'S GOURMET BURGERS,3,03,23,B
41670931,GOOD VIEW DELICIOUS BAKERY,3,20,11,A
41680956,NEW BEST WOK NO 1,3,20,5,A
50001455,COUNTRY BAY PIZZERIA,2,03,14,B
50001458,BASSANOVA RAMEN,1,49,19,B
50001460,CAFE B'WAY 46,1,03,20,Z
50001470,GUAC STAR,1,03,13,A
50001491,FOGON & LENA RESTAURANT,3,77,10,A
50001499,DUNCAN'S ISLAND STYLE,3,17,6,A
50002019,HOME SWEET HARLEM,1,03,12,A
50002020,THE GREAT GEORGIANA,3,03,2,A
50002028,LA NORTENA,3,55,29,Z
50002037,CHABBA BBQ,3,56,13,A
50002039,KABIR'S BAKERY,3,08,9,A
50002042,MOSHI MOSHI,3,22,27,B
50002052,OTTO'S TACOS,1,55,13,A
50002054,HOJA SANTA,3,03,10,A
41677658,LA BAGEL DELIGHT,3,07,9,A
41678019,WONDER BERRY FROZEN YOGURT,1,43,13,A
41656875,FOOD PASSION CATERING,1,03,2,A
50001501,XIAO DONG BEI CHINESE CUISINE,4,05,19,Z
50001505,HEALTHY LIFESTYLE,2,51,12,A
50001514,BADIAR AFRICAN RESTAURANT,2,02,20,B
50001526,EVERYDAY CHINESE RESTAURANT,3,20,10,A
50001531,HANE SUSHI,1,49,11,A
50001539,KOBE SUSHI,1,49,57,C
50001541,TONY & VAL'S,2,62,9,A
50001550,AURORA RESTAURANT,2,77,2,A
50002058,HIMALAYAS KITCHEN,4,05,12,A
50002064,PRIMAVERA RESTAURANT,3,77,28,C
50002081,YANG'S HAPPY GARDEN,2,20,13,A
50002082,STIFF WEASEL GRILL + DELI,2,03,11,A
50002086,mango restaurant,3,77,9,A
50002091,NEW LUCKY GARDEN,2,20,11,A
50002094,Fresh N Healthy Food,4,03,12,A
50002095,The Bahche,3,54,10,A
50002119,STARBUCKS COFFEE (Store#20161),1,14,2,A
50002124,CHINA TACO DISH,4,20,20,B
50002132,DON SABOR DOMINICAN RESTAURANT,2,77,9,A
50002133,BIZARRE,3,35,15,B
41649591,PETIT BLUE DOG CAFE,1,51,7,A
41649687,SRI LAK BOJUN INC,5,44,8,A
41681378,CROWN FRIED CHICKEN,3,18,17,B
41681629,HEAVY WOODS,3,03,6,A
41681648,BONEFISH GRILL (SI MALL),5,03,11,A
41681860,MOONEY'S PUBLIC HOUSE,4,47,4,A
41657018,SUN BAKERY,1,08,10,A
41657262,METRO CAFE,3,20,13,A
50002140,HEALTHDELICIOUS,3,03,9,Z
50002142,HUDSON CAFE,1,08,9,A
50002191,CASA LOUNGE,4,57,12,A
50002197,ROADSIDE,1,03,2,A
50002214,CAMPANIA COAL FIRED PIZZA,3,48,12,A
50002216,INTERSTATE 495 DELI,4,03,10,A
50002231,The Mug Cafe,3,03,10,A
50002232,TONY'S PIZZA,3,62,4,A
50002235,ZHIQING ACTIVITY CENTER,4,05,13,A
50002241,RED APPLE,4,20,12,A
50002243,DELICIAS AMBATENAS,4,08,9,A
50002247,SUNSET FRIED CHICKEN AND GRILL,3,18,17,B
50002260,BACK TO NATURE,4,14,12,A
50002261,PORT AUTHORITY FOOD COURT,1,03,9,A
50001558,maid cafe ny,1,14,4,A
50001560,RED CORK,1,35,7,A
50001586,HAWA SMOOTHIE,1,51,12,A
50001588,TURNMILL,1,47,13,A
50001600,FOOD SUN SUN,1,49,9,A
41672042,PEOPLE'S POPS,3,43,12,A
41672199,MURRAY'S CHEESE BAR,1,03,12,A
41672474,TOST CAFE,4,03,8,A
41682005,14TH STREET PIZZA BAGEL CAFE,1,03,9,A
41682175,THE BREW INN,3,03,18,B
41678642,NEW GOOD TASTE FOOD,4,20,5,A
41678706,TITOS EMPANADAS Y MAS,2,53,5,A
41678777,OVAL CAFE,1,14,10,A
41678798,TONY'S ASIA,4,05,9,A
41678866,GOLDEN CITY,1,20,12,A
41678959,NEW KAM WEI,1,20,9,A
41679060,E-CHIBAN SUSHI JAPANESE RESTAURANT,4,49,12,A
50002266,TODAY SPORTS LOUNGE,4,05,20,B
50002268,Dunkin Donuts,4,99,10,A
50002270,TENZAN JAPANESE CUISINE,1,49,13,A
50002277,VIEN NYC,1,05,12,A
50002278,LITTLE CHEF,1,03,2,A
50002281,Dough Loco,1,03,4,A
50002282,SUBWAY,1,03,12,A
50002283,ISLAND BAY GRILL & LOUNGE,5,17,2,A
50002294,"MISS KOREA BARBECUE SUN""""",1,52,2,A
50002297,OLIENG THAI RESTAURANT,3,82,8,A
50002305,NO NAME CAFE,4,30,24,B
50001613,ROADHOUSE NYC,4,03,7,A
50001626,REDSTONE ROCKET,4,52,10,A
50001633,MARYMOUNT COLLEGE NUGENTS CAFE,1,99,11,A
50001641,ZHUANG YONG FENG BAKERY,4,20,31,C
50001652,BUFFALO BOSS TWO,3,03,12,A
50002323,KUNG FU TEA,4,05,12,A
50002325,SONNY'S ROTI SHOP,4,17,27,Z
50002326,KINGS KITCHEN A,3,20,26,B
50002334,T & G INTERNATIONAL CUISINE,4,17,4,A
50002338,AHI SUSHI,1,49,34,C
50002339,C Bao,1,05,22,Z
50002345,Sporting Club Gjoa,3,03,19,B
50002350,RAMEN TAKUMI,1,49,13,A
50002357,bella pizza,4,63,5,A
50002363,Subway,3,69,5,A
50002368,EL VALLE TIPICO RESTAURANT II CORP,2,77,13,A
50002375,SUBWAY,1,75,13,A
41672792,DUNKIN DONUTS,5,99,8,A
41672903,MALONEY & PORCELLI,1,03,10,A
41672996,THIRD BASE CONCESSION STAND,5,03,10,A
41673033,LEFT FIELD CONCESSION STAND,5,03,8,A
41673105,HALE & HEARTY,1,03,10,A
41673128,PARAISO SALUDABLE,4,14,10,A
41673166,MEJORANDO LA SALUD,4,14,10,A
41682278,KONO,4,52,10,A
41682510,RENASER RESTAURANT,4,53,13,A
41682590,SUBWAY,1,70,9,A
41682591,KISSA BAR,4,03,3,Z
41682828,FRIENDS CORNER CAFE,4,03,11,A
41679501,POTBELLY SANDWICH SHOP,1,03,12,A
41679561,LUCKY'S CAFE,1,03,22,B
41679653,LAKE TROUT,3,72,7,A
50002378,HAPPY YOGURT GARDEN,3,43,9,A
50002382,HOT GINGER ASIAN FUSION,4,05,5,A
50002386,CHURCH STREET KITCHEN,1,03,18,B
50002387,ISLAND KITCHEN CHINESE RESTAURANT,5,20,13,A
50002395,EMPIRE SZECHUAN VILLAGE,5,20,9,A
50002413,VIVA KTV,4,20,11,A
50002421,JEBON,1,05,14,B
50002428,GLAZE,1,03,6,A
50002429,METRO MART,5,03,12,A
50001664,OLIVIER,3,35,7,A
50001677,AFGAN KEBAB AND GRILL,4,56,12,A
50001699,ASTORIA TAVERN,4,47,7,A
50001707,CAUSEWAY BAY CAFE,4,05,11,A
41673803,MAGIC SOUL FOOD,4,17,13,A
50002444,TIME OUT LOUNGE,3,04,13,A
50002447,YUMMY TACO,4,81,11,A
50002448,CHINA STAR QUEENS CHINESE RESTAURANT,4,20,11,A
50002452,KYOTO RESTAURANT,4,05,20,Z
50002463,LE ROI LOUNGE,5,56,9,A
50002470,PIZZETTERIA BRUNETTI,1,62,14,B
50002472,AIKO SUSHI JAPANESE RESTAURANT (JINSHU SUSHI),1,49,47,Z
50002473,BLIMPIES,2,03,33,Z
50002477,OREN'S DAILY ROAST,1,14,3,A
50002483,MAU MAU BAR RESTAURANT,4,77,6,A
50002491,AGORA TURKISH RESTAURANT,1,83,19,Z
50002492,Rubens,2,55,5,A
41682857,CHARLES SALLY & CHARLES,3,14,11,A
41682864,JPMC CAFETERIA,1,03,6,A
41682935,GANSO,3,49,7,A
41679801,ATOMIC WINGS,3,18,15,B
41680010,LOS DOS POTRILLOS,2,55,10,A
41658518,BELOVED,3,03,13,A
41658579,GRAVITY LOUNGE,2,53,3,A
50001725,HESTER STREET CAFE,1,14,7,A
50001728,NEW HONG KONG KITCHEN,1,20,10,A
50001729,RG'Z TASTY SEAFOOD,3,72,10,A
50001736,TERRA,1,48,10,A
50001741,YJ Family,4,20,8,A
50001751,KE ZHANG,4,20,11,A
50002495,KENNEDY FRIED CHICKEN,4,18,10,A
50002497,Cheng's Chinese Restaurant,5,20,11,A
50002504,CASELLA BAGEL COFFEE SHOP,3,03,35,C
50002506,GREAT PERFORMANCES,1,49,10,A
50002517,DIP DIP,4,05,12,A
50002536,SHANG HAI CITY DUMPLING,3,20,20,B
50002543,new sheng chinese kitchen,2,20,9,A
41683562,FAY WONG CAFE BAKERY,3,08,9,A
41683564,1005 CATERING,2,03,12,A
41683689,EL MOGOTE BAR AND RESTAURANT,4,77,10,A
41680163,Kabila Cafe,1,70,12,A
50002555,IRON SUSHI,1,49,18,Z
50002569,GRAN SABOR LATINO RESTAURANT,4,77,38,Z
50002572,LA RUBIA RESTAURANT,4,53,12,A
50002580,OCHE A TU GUSTO,1,53,7,A
50002582,SAVORY CAFE,4,05,,A
50002583,THE SIMONE,1,35,10,A
50002589,MMENFES TURKISH FOOD,4,83,13,A
50002590,ST BESS RESTAURAN,2,17,8,A
50002594,STARBUCKS COFFEE,3,14,13,A
50002598,CROWN FRIED CHICKEN,3,18,7,A
50001754,RINCON LATINO RESTAURANT,2,77,19,B
50001763,TASTY DELICIOUS WEST INDIAN BAKERY & RESTAURANT,3,17,9,A
50001767,DUB PIES,1,06,19,B
50001769,ZEN VEGETARIAN INC,3,84,13,A
50001774,HOLIDAY INN MIDTOWN,1,03,8,A
50001791,AVI PIZZA,4,62,9,A
50001802,Fiamma 41,4,03,12,A
50001807,MONARCH,1,03,12,A
41674377,LA BELLA RUSSO PIZZERIA,4,63,11,A
41674506,GUACAMOLE,4,55,9,A
41683931,GREAT WALL RESTAURANT,3,20,10,A
41683961,BURGER URWAY,3,03,12,A
41680485,FLAMINGO RESTAURANT AND MANTRA LOUNGE,4,17,5,A
41680593,JOE'S PIZZA,4,63,12,A
41680618,Vinnie's Pizzeria,3,63,2,A
50002602,Bruckner Bar & Grill,2,03,11,A
50002610,SWEETSERENITY CUPCAKES,4,03,10,A
50002612,dunkin donuts baskin robbins,3,14,6,A
50002613,KEUM SUNG FOOD,4,05,11,A
50002615,THE NUGGET SPOT,1,18,17,B
50002619,SUBWAY,4,69,13,A
50002625,H & Y BAKERY,3,20,11,A
50002627,OBSESSIONS BAR,4,04,9,A
50002628,KENTUCKY FRIED CHICKEN,2,03,9,A
50002632,O'NEILL'S,4,03,10,A
50002634,MS. DAHLIA'S CAFE,3,14,10,A
41659058,MAMA'S NEW YORK ICES,4,43,11,A
41659433,SUBWAY,1,69,9,A
50001812,JERSEY MIKE'S SUBS,1,69,11,A
50001817,NATHAN'S,3,41,9,A
50001819,MCDONALD'S RESTAURANT,5,39,13,A
50001822,CROWN FRIED CHICKEN,3,18,13,A
50001838,ECCO RESTAURANT,1,48,12,A
50001842,AMAZE,1,05,20,B
50001844,CHINA PEKING RESTAURANT,4,20,8,A
50001855,MANGIA,1,03,10,A
50002662,popeye's,4,03,13,A
50002681,FRESH CROWN RESTAURANT,3,24,27,B
50002690,TKO CHICKEN,3,03,17,B
50002696,YI ZHANG FISHBALL & SNACKS RESTAURANT,1,20,9,A
50002703,VINO LEVANTINO,1,54,11,A
50002707,LIBERTY CATERING INC,5,03,40,C
50002725,CIBO Express (Baggage),4,70,,A
41674965,BATH BEACH DINER,3,03,12,A
41684054,THE BOIL,1,72,13,A
41684111,KOELNER BIER HALLE,3,37,12,A
41684444,AGNANTI CAFE,4,14,13,A
41680691,M. WELLS DINETTE,4,03,12,A
41680979,MIRADOR,2,53,10,A
41659556,NEW CHUN FENG RESTAURANT,4,22,11,A
41659669,FEI MA,1,20,2,A
50002739,THE JAG,2,03,12,A
50002760,sal's pizza,4,62,27,Z
50002771,PADISHAH RESTAURANT,3,56,15,B
50002778,SHOMRAT RESTAURANT,1,03,12,A
50002789,NEW SING WAH RESTAURANT,3,20,20,B
50002802,NEW YORK FRIED CHICKEN & GRILL,2,09,7,A
50002845,LUCY'S WHEY CARNEGIE HILL LLC,1,03,7,A
50001861,DUNKIN DONUTS/ BASKIN ROBBINS,1,29,4,A
50001868,SUSHI K BAR,3,49,6,A
50001879,TWOSHA'S,2,03,12,A
50001880,GANG SAN DEUL,4,52,27,B
50001897,Mexico Magico,2,55,12,A
50001899,TOASTIES,1,27,34,Z
50001908,ROBERTS DELIGHT CARIBBEAN & AMERICAN RESTAURANT,4,17,23,B
50002890,NEW FONG KWAN KITCHEN INC,4,20,12,A
50002933,SUBWAY,1,03,12,A
50002938,The Grill House,4,38,10,A
50002939,SUBWAY,1,69,13,A
50002945,sultans pizza,1,62,12,A
50002970,PAPA JOHN'S,3,62,9,A
50002976,CHECKERS,4,99,4,A
50003033,NEW CHINA KITCHEN,3,20,15,B
50003034,HOMETOWN BAR-B-QUE,3,10,6,A
50003036,CHANG LE FAN DIAN,3,20,11,A
41684638,DIRTY BIRD TO GO,1,18,23,Z
41684654,EL RUBIO RESTAURANT,3,77,7,A
41684728,CITY GRIT,1,03,4,A
41684955,DU JOUR BAKERY,3,08,13,A
41684983,CLOUD 9,4,03,13,A
41681153,CLARKE'S STANDARD,1,03,2,A
41681185,CHINA KITCHEN,2,20,8,A
41681333,KING FALAFEL,3,56,10,A
50001912,SUPER TACO EXPRESS,1,55,12,A
50001918,BLACK IRON BURGER,1,03,10,A
50001919,CEA-LO CAFE,1,72,13,A
50001941,CROWN PALACE RESTAURANT,5,20,18,B
50001946,Yummy Sushi House,4,05,2,A
50001947,Dunkin' Donuts,4,70,28,C
50001956,GOLDEN FOUNTAIN RESTAURANT,2,17,12,A
50003042,BENGAL TIGER INDIAN FOOD,1,44,9,A
50003044,CHICK CHUCK,1,56,9,A
50003059,FISH YARD,3,17,4,A
50003062,POMME,1,14,13,A
50003100,TBAAR,4,51,5,A
50003113,HIBISCUS RESTAURANT & LOUNGE II CORP,4,17,10,A
50003115,MOUNTAIN PROVINCE,3,08,,A
50003131,Chatime,1,14,13,A
50003157,NEW YORK SPA & SAUNA CAFE,4,52,7,A
41651907,MIAMI II CAFE,3,14,13,A
41651918,EL POBLANO RESTAURANT,4,55,10,A
41652034,RUBY'S,3,03,11,A
50001962,AROME,1,23,13,A
50001975,TWISTER,1,43,9,Z
50001984,GINZA SUSHI,3,49,27,B
50002005,OREN'S DAILY ROAST,1,14,7,A
50002007,THE TEST OF GOOD NUTRITION,3,51,12,A
50002008,DOUBLE V,4,14,9,A
50002009,Cascalote Latin Bistro,1,55,7,A
41685153,THE SPOT AT CENTER COURT,1,03,10,A
41685208,PAPA'S,5,56,12,A
50003160,KYOTO SUSHI NUMBER 5,5,49,20,B
50003175,PHO SENG,1,28,14,B
50003177,ASIA KING RESTAURANT,4,20,12,A
50003180,DUNKIN DONUTS,2,29,,A
50003203,NEW NICE CHINATOWN,3,20,11,A
50003207,XHALE HOOKAH LOUNGE,4,03,19,Z
50003212,APOLO RESTAURANT II,3,20,17,B
50003214,WILLIAMSBURG PIZZA,1,63,7,A
50003242,ROUTE 66 AMERICAN BBQ,1,03,12,A
50003245,JAKE TASTY FOOD,4,20,5,A
50003269,BLIMPIE,3,69,2,A
50003270,MUD PARK,1,14,2,A
50003295,NEW XIN LONG KITCHEN,3,20,17,B
50002029,SAWA,3,49,5,A
50002034,Orange Leaf,3,43,4,A
50002056,NEW HALAL KITCHEN II INC,3,20,15,B
50002066,MAKANA,1,49,12,A
50002070,JACKBAR,3,03,10,A
50002074,RECUERDO RESTAURANT,4,77,12,A
41676498,PEKING KITCHEN,3,20,11,A
50003298,Taco Bell,4,03,12,A
50003301,TACO BELL,4,03,8,A
50003316,SUSHI ROYALE,3,50,21,B
50003328,SOFIA'S,1,48,12,A
50003343,HOUDINI KITCHEN LAB,4,63,8,A
50003344,Blue Mediterranean Restaurant LLC,2,54,4,A
50003403,ZHUANGS TEA & COFFEE AT SILKROAD,1,04,11,A
50003406,DUMPLING KINGDOM,1,20,10,A
50003427,Shochu and Tapas Aya,1,99,10,A
50003430,MISSION CANTINA,1,55,10,A
41685299,FRESCA PIZZA,4,62,15,B
41685633,PIZZA AND FRENCH TASTE PIZZERIA,1,62,33,Z
41685800,OLMSTED CAFETERIA- KIOSK,4,03,9,A
41682198,THE MARK RESTAURANT,1,03,4,A
41682237,"DUNKIN DONUTS, BASKIN ROBBINS",4,03,2,A
50002080,WAH XING,3,20,4,A
50002085,OASIS RESTAURANT,4,03,12,A
50002088,Dish,3,54,19,B
50002107,WILLIAMSBURG CREAMERY INC,3,43,,A
50002111,YOGU MOO,3,43,13,A
50002116,YUMMY MACHI,1,49,10,A
50002118,ZEBI BISTRO,2,03,,A
50002127,HALAL FRIED CHICKEN,2,03,,A
50002130,FRESH & CO,1,68,12,A
50002137,CITY ECLAIR,1,05,12,A
50003433,SUSHI KATSUEI,3,49,23,Z
50003448,CHEUNG KING,4,20,21,B
50003460,WALLFLOWER,1,35,17,B
50003461,FresCo Taco Grill,4,55,8,A
50003496,BUTTERCUP BAKE SHOP,1,08,11,A
50003498,BLACK FORST BROOKLYN,3,37,7,A
50003502,SUBWAY,1,70,12,A
50003504,ROTISSERIE GEORGETTE,1,03,2,A
50003575,GRAND CENTRAL OYSTER BAR BROOKLYN,3,03,13,A
41677117,SAMUELS TOP RANKING FISH SHOP,3,17,11,A
41686124,TA' RICO,4,77,7,A
41682635,YOGORINO,1,99,2,A
41682968,SABOR ANDINO #2,3,53,11,A
50003587,THE GRILL,4,54,7,Z
50003589,CREATIVE PIZZA LLC,4,62,10,A
50003599,NIAHMAH,3,44,12,A
50003600,FIVE GUYS BURGERS AND FRIES,3,03,11,A
50003603,FIVE GUYS BURGERS AND FRIES,3,39,6,A
50003618,DMV Deli Express,2,03,7,A
50003622,XING WANG FUZHOU CUISINE,4,20,10,A
50003657,WILD SPICE,4,56,11,A
50003730,NEW DAVE'S,4,20,9,A
50002192,GRACE CHINESE CUISINE,4,20,10,A
50002204,MYWAYCUP COFFEE,1,14,13,A
50002230,TAQUITORIA,1,81,16,B
50002240,CHECKERS,4,03,10,A
50002249,BAR REIS,3,03,9,A
50002252,COURTYARD & RESIDENCE INN by Marriott Central Park,1,03,11,A
50002257,DIVERSE DIM SUM,4,20,4,A
50002258,DOUGH BOYS PIZZA,1,62,20,B
50003764,El Paso Mexican Grill,3,55,13,A
50003772,SING HUANG RESTAURANT,1,20,10,A
50003780,GEMELLI ITALIAN DELI,4,03,12,A
50003782,CHEN MINI CAFE,3,20,27,B
50003808,CROCUS,3,03,10,A
50003846,Hardee,3,20,17,B
50003870,DA MOA KITCHEN CORP,1,05,5,A
50003873,ANGIE & JOSEPH PIZZERIA & RESTAURANT,1,62,23,B
50003893,EXOTIC ROTI EXPRESS,3,17,6,A
50003914,NEW JIN XIN RESATURANT,3,20,7,A
41686535,NANKING,4,05,8,A
41686603,PORK SLOPE,3,03,9,A
41686665,NISH NUSH,1,56,13,A
41686667,OMG PIZZA,3,62,13,A
50002265,SUSHI NAKAZAWA,1,49,16,Z
50002273,BROOKLYN BALL FACTORY,3,52,13,A
50002275,EL COLMADO,1,03,12,A
50002280,Dimes,1,03,13,A
50002296,CHIAMIN CHOW,4,05,22,B
50002306,DOMINO'S PIZZA,2,62,12,A
50002313,THE BUTHCHER'S DAUGHTER MARKET,1,51,25,Z
50002319,PAPA JOHN,2,62,13,A
50002324,DETOXX BAR,4,17,12,A
50003918,NEW APOLO RESTAURANT,3,20,11,A
50003958,SOOM SOOM,1,50,9,A
50003962,A-WAH RESTAURANT II ,1,20,45,C
50003964,EMERALD INN,1,03,4,A
50003965,FRANCIS CAFE,4,35,11,A
50003970,SING LOON ZHENG KITCHEN INC,2,20,8,A
50003973,MOREIRA RESTAURANT,4,77,11,A
50004043,BROOKLYN COMFORT,3,03,4,A
50004057,United Miners Soccer Club,4,30,27,B
50004065,RINCONCITO FAMILIAR RESTAURANT,3,55,39,C
50004071,SECRETS,3,17,11,A
50004082,TAQUERIA LA HACIENDA,4,55,24,Z
50004087,NUM PANG SANDWICH SHOP,1,69,21,Z
50004089,eclair bakery,1,08,7,A
50004097,MITCHELL'S KITCHEN,3,17,3,A
41653176,JOE COFFEE,1,14,7,A
41677452,GYRO UNO,4,38,17,B
41686830,PANDA KING CHINESE KITCHEN,4,20,9,A
41686846,EL DIAMANTE RESTAURANT,2,53,47,Z
41686991,THE BUFFET,4,05,12,A
41687169,A WAI LOU RESTAURANT,4,20,9,A
41687344,BETTER TASTE JAMAICAN/AMERICAN CUSINE,2,17,10,A
50004098,GOLD RIVER MALAYSIAN CUISINE,1,05,7,A
50004099,JAC MAO CHINESE CUISINE,5,20,11,A
50004113,PANINI TOST CAFE,3,70,12,A
50004130,AVENUE P APPETIZER,3,50,40,Z
50004146,CRYSTAL'S RESTAURANT,4,53,18,Z
50004148,CHIPOTLE MEXICAN GRILL,1,55,8,A
50004159,ASPEN SOCIAL CLUB,1,03,21,B
50004162,J's A+ Cafe,2,03,9,A
50004167,MC DONALD'S,4,39,11,A
50004170,JAQUELINE'S BAKERY BAR RESTAURANT,2,77,12,A
50004198,THE PATH CAFE,1,03,19,B
50004200,KENNEDY FRIED CHICKEN & PIZZA,3,18,2,A
50002327,SUBWAY,4,69,16,Z
50002331,KUMO JAPANESE RESTAURANT,4,49,21,B
50002336,COMEBUY,1,14,18,B
50002341,PIZZA PLACE PASTA,4,62,9,A
50002344,SIZ-IN-PAN,3,20,12,A
50002347,PELZER'S OF PHILADELPHIA PRETZELS,3,07,2,A
50002372,JUICY KABAB,4,03,24,B
50002380,Kurant,1,04,20,Z
50002383,YUMMY DIM SUM,4,20,11,A
41683539,HAPPY GARDEN CHINESE RESTAURANT,3,20,19,B
41683579,GARDEN OF HEALTH,3,00,,A
41683685,BAGELS & BREW,4,03,12,A
41661732,MONA'S CUISINE,5,02,10,A
50004226,PALATES,3,03,54,Z
50004255,NEW DE XING CHINESE RESTAURANT,4,20,24,Z
50004278,NEW KAM LAI,1,20,7,A
50004303,TENG DRAGON,1,20,2,A
50004304,OASIS COFFEE SHOP,2,99,10,A
50004307,KFC (QUEENS CENTER MALL),4,03,9,A
50004311,KFC,3,99,13,A
50004314,US FRIED CHICKEN & P1ZZA,1,04,12,A
50004315,KFC,3,03,9,A
50004317,KENNEDY FRIED CHICKEN,2,18,11,A
50004319,KFC,3,18,47,C
50004327,KFC,3,03,5,A
50004328,KFC,3,18,12,A
41653409,CROWN FRIED CHICKEN,3,99,9,A
41677967,WILMER HALE,1,03,2,A
50002390,FRESH POND TAVERN,4,04,11,A
50002392,CONCON CAFE,1,53,37,Z
50002394,PALERMO ITALIAN RESTAURANT,4,48,12,A
50002400,BAGEL BOSS,1,07,26,B
50002419,SABOR COLOMBIANO II PASTELERIA STEAKHOUSE,4,77,12,A
50002424,CAFFE AZZURRI D'ITALIA,2,14,23,Z
50002449,ABI JAPANESE RESTAURANT,4,49,12,A
50004330,KFC,3,18,9,A
50004333,SABI SUSHI,1,49,13,A
50004340,HILLSIDE BAKERY AND FIRST FOOD,4,03,,A
50004343,TEXAS NEW FRIED CHICKEN,4,18,5,A
50004348,Fair Weather Bushwick,3,03,13,A
50004355,KFC/TACO BELL,4,18,4,A
50004358,TORIS RESTAURANT,2,77,7,A
50004370,OAK RESTAURANT & GRILL,2,53,12,A
50004392,PETITE FLEURY BAKERY,3,08,9,A
50004411,SUBWAY,1,69,13,A
50004419,PA-NASH RESTAURANT AND LOUNGE,4,57,12,A
41687515,BRANSON GOT JUICE,1,51,7,A
41687576,SUBWAY,4,70,9,A
41684498,FRESH TACO & TWIN DRAGON,2,81,10,A
41684505,EL MITOTE,1,55,6,A
41662349,XIXA,3,03,13,A
50002458,SUBWAY,1,70,11,A
50002465,PAPPAGALLO PIZZA,4,99,24,B
50002471,RAFFAELLO,1,50,10,A
50002474,PAGANI,1,48,10,A
