CAMIS,DBA,BORO,CUISINECODE,SCORE,CURRENTGRADE
41510509,THE THREE MONKEYS,1,03,2,A
41510616,THE BLACK SHEEP/TENDER TRAP,3,03,18,B
41515807,SUSHI TATSU ON FRANKLIN,3,49,11,A
41515837,MEXI Q KITCHEN,4,55,2,A
41515854,CLUB CATS,3,13,10,A
41516054,CAFE MAGGIO,1,03,12,A
41516207,TOST CAFE,4,03,13,A
41489788,RESERVE,1,82,12,A
41489806,MASALA TIMES,1,44,7,A
41490112,VICKI'S RESTAURANT  and  BAKERY,4,08,19,B
41512587,KAFF KAFE,3,50,12,A
41512734,CENTRAL MARKET,1,03,9,A
41512813,BRAVO PIZZA,1,63,12,A
41512984,SAMURAI MAMA,3,49,13,A
41499169,THE LAMBS CLUB,1,03,4,A
41499313,YI HONG RESTAURANT,3,20,12,A
41499566,HAPPY GARDEN,2,20,11,A
41563476,MING WONG RESTAURANT,2,20,7,A
41563537,BENITO ONE,1,48,10,A
41566073,"DUNKIN DONUTS, BASKIN ROBBINS",1,29,13,A
41566307,FAMOUS FAMIGLIA,1,48,12,A
41510644,CURRY HUT,1,09,4,A
41510955,COOYAH,2,17,9,A
41490270,TOM & TOON,1,82,13,A
41490282,LE PARISIEN,1,35,48,Z
41516545,CENTRO DE BIENESTAR DAYSI,4,99,8,A
41517071,PINKBERRY,1,43,2,A
41517082,CARMINE'S ORIGINAL PIZZA,3,62,22,B
41517701,PLANET WINGS,0,18,8,A
41517801,CHINA GARDEN RESTAURANT,3,20,8,A
41513065,QQ BAKERY,1,08,10,A
41499943,PIZZA BY THE PARK,3,62,12,A
41499986,PUERTO MADERO STEAK HOUSE,4,53,18,B
41563704,FDR 99¢ SLICE PIZZA,1,62,6,A
41563757,PIEKIELKO GRILL BAR,4,64,7,A
41511064,GREAT DRAGON PALACE,4,20,7,A
41511273,BETTOLONA,1,48,5,A
41511329,DUNKIN' DONUTS,3,29,11,A
41490788,MIDWAY BAR,3,03,10,A
41491233,BAY HOUSE ASIAN BISTRO,5,49,11,A
41491272,AZUL TEQUILA MEXICAN RESTAURANT,2,55,13,A
41566597,MARINA RESTAURANT,4,77,9,A
41517953,JAMBA JUICE,1,03,13,A
41518879,RED HOUSE ASIAN FUSION,4,05,9,A
41500416,RONIN BAR AND GRILL,1,49,18,B
41500437,NUEVO PALACIO CHINO RESTAURANT,3,20,27,B
41500641,DUNKIN DONUTS,5,29,16,Z
41500904,PIZZA ON THE RUN,3,62,9,A
41513313,SCHNITZI,3,50,10,A
41513741,SADDLE ROAD ROTI SHOP,3,17,9,A
41513747,PRET A MANGER,1,03,12,A
41511333,CHINA PAVILION,3,20,7,A
41511660,EL ECONOMICO RESTAURANT,2,53,11,A
41491344,INTERNATIONAL CENTER OF PHOTOGRAPHY,1,03,7,A
41491651,NEW CHINA WOK CHINESE KITCHEN,3,20,10,A
41563804,BAD HORSE PIZZA,1,62,24,B
41563809,WING WAH,1,20,11,A
41563853,DUTCH POT JAMAICAN RESTAURANT,3,03,7,A
41563975,MCGEE'S TAVERN,2,03,17,B
41564052,JAMAICAN STYLE,4,17,6,A
41566643,SAN MARTIN MEXICAN RESTAURANT,5,55,9,A
41566831,RESTAURANT ASSOCIATES @ KENNETH COLE,1,03,2,A
41519256,BENJYS KOSHER PIZZA & DAIRY RESTAURANT,4,50,25,Z
41519432,SAN MATTEO PIZZA ESPRESSO BAR,1,62,9,A
41519552,MI BOLIVIA RESTAURANT,4,53,51,C
41501104,GOLDEN BAY BAKERY,3,08,11,A
41501115,MILANO'S PIZZERIA,1,62,9,A
41501642,SCOOPS R US,1,43,11,A
41501705,TOST CAFE,4,03,11,A
41512057,LA BERGAMOTE,1,35,24,B
41512397,TWO GRANDPA'S PIZZA,2,63,11,A
41512460,BELLINI RESTAURANT,1,48,12,A
41491816,DRAGON YUAN,2,20,9,A
41491905,HILL COUNTRY CHICKEN,1,18,12,A
41492088,LAS BANDERAS RESTAURANT,3,55,17,B
41564230,LA BOTA,1,77,12,A
41564382,BARE BURGER,1,39,13,A
41566945,CROWN FRIED CHICKEN,2,18,12,A
41567020,GREENSTREETS SALADS,3,68,13,A
41567090,SHOGA-SUSHI & OYSTER BAR,1,20,18,Z
41514395,ESMERALDO BAKERY,1,08,8,A
41514423,DOUBLETREE HOTEL NEW YORK CITY - FINANCIAL DISTRICT,1,03,27,Z
41514452,WING GONG,1,20,10,A
41519677,OMIYA SUSHI JAPANESE CUISINE,3,49,7,A
41519681,FIGURA SALUDABLE,4,77,10,A
41502332,EL NUEVO POLLO RESTAURANT,2,53,13,A
41502559,NINTH WARD,1,03,12,A
41512559,EL VIEJO JOBO RESTAURANT,1,53,12,A
41512566,FUSHA,1,05,10,A
41492166,LA BOULANGERIE LOPEZ BAKED GOODS & CAFE,3,14,13,A
41492204,CORCHO WINE ROOM,1,12,13,A
41492336,LUCKY PLAZA RESTAURANT,1,20,25,B
41519860,LALLISSE,1,54,5,A
41519961,MORINI,1,48,12,A
41520036,GOLDEN PIZZA,3,62,15,B
41520081,PINKBERRY,1,43,12,A
41520341,EASTERN CHINESE RESTAURANT,3,05,12,A
41567176,CARVEL ICE CREAM,4,43,9,A
41567437,ANGELA'S BAKERY,3,08,7,A
41512878,LA SLOWTERIA,3,03,13,A
41514752,FRANCOIS PAYARD BAKERY,1,08,10,A
41514880,EL HABANERO MEXICAN COCINA,2,55,5,A
41514937,WORLD BEAN,4,14,9,A
41515000,7TH GEAR BAR,4,12,9,A
41492452,KENEDY FRIED CHICKEN,2,18,9,A
41492552,TWO BOOTS PIZZERIA,1,62,10,A
41520477,SABOR A MEXICO TAQUERIA,1,55,8,A
41520610,BAREBURGER,1,03,12,A
41520637,POPEYE'S CHICKEN & BISCUITS,4,18,14,B
41520658,V-NAM CAFE,1,28,36,C
41513110,CROWN FRIED CHICKEN,4,18,12,A
41513180,HOTEL TORTUGA,1,84,8,A
41513240,RIVER PARK,1,03,9,A
41513242,'WICHCRAFT,1,70,9,A
41564907,EVE'S LOUNGE,3,03,10,A
41564963,RADIO CITY MUSIC HALL,1,03,,A
41567481,TEQA,1,55,7,A
41567540,WIMPY'S RESTAURANT 5,1,03,9,A
41567580,NORTH SHORE TOWERS AND COUNTRY CLUB,4,03,12,A
41567588,TASTY HOUSE,3,20,15,B
41567796,SOUVLAKI GR LES,1,38,12,A
41515017,LAS MARGARITAS,3,55,20,Z
41515207,FORDHAM UNIVERSITY COSI CAFE,2,03,2,A
41515470,NARUTO RAMEN,3,49,7,A
41502785,HANG LUNG LUCKY RESTAURANT,1,20,10,A
41502955,TACOS EL REY,3,55,10,A
41503136,THE HILLS RESTAURANT AND BAR,3,17,29,C
41493180,ARTICHOKE BASILLE'S PIZZA & BAR,1,48,13,A
41493226,SKY ROOM,1,03,17,B
41493280,JARRO X1V,3,48,14,B
41513509,NEW WOK,2,20,12,A
41513612,T2 - GO,3,14,7,A
41515655,NY Botanical Garden (stone mill bldg),2,03,12,A
41520756,BAKE & THINGS RESTAURANT,3,17,5,A
41520848,EMPIRE WOK EXPRESS,4,20,7,A
41520872,KIKU SUSHI,3,49,17,B
41565144,EL RANCHITO RESTAURANT,3,77,22,Z
41565283,NEW CHINA STAR,4,20,9,A
41567810,GREEN LAKE,3,20,11,A
41568019,JUST SALAD,1,68,8,A
41568094,LAS ORQUIDIAS CANDY AND FOOD,2,53,12,A
