Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,John Buck,32,17,66,62,12,18,2,0,7,22,0,0,2,10,.290,.303,.661,.964,161,41,0,0,0,2,0
2,1B,Ike Davis*,26,16,67,60,8,10,0,0,3,6,0,0,7,19,.167,.254,.317,.570,59,19,2,0,0,0,1
3,2B,Daniel Murphy*,28,17,72,66,17,23,7,1,2,12,0,0,5,8,.348,.389,.576,.965,167,38,2,0,0,1,0
4,SS,Ruben Tejada,23,17,66,59,7,13,4,0,0,6,1,0,6,7,.220,.303,.288,.591,67,17,0,1,0,0,0
5,3B,David Wright,30,17,76,61,13,19,3,3,2,14,5,0,15,10,.311,.447,.557,1.005,180,34,1,0,0,0,0
6,LF,Lucas Duda*,27,16,61,44,11,12,2,0,5,8,0,0,15,15,.273,.475,.659,1.135,215,29,0,2,0,0,0
7,CF,Collin Cowgill,27,13,40,40,6,8,1,0,2,8,0,0,0,11,.200,.200,.375,.575,57,15,0,0,0,0,0
8,RF,Marlon Byrd,35,15,58,54,7,14,3,1,1,10,0,0,2,17,.259,.293,.407,.701,94,22,1,1,0,1,0
