Team,Top;1,Top;2,Top;3,Top;4,Top;5,TOTAL,,
Highland;Park;(TX);WW,128.064,111.9552,99.456,,,339.4752,,;;
Pinecrest;ML,102.6256,117.392,105.6528,,,325.6704,,;;;;
Reagan;ZP,117.392,130.6144,70,,,318.0064,,;;;;
Highland;Park;(TX);HS,82.1744,116.032,117.392,,,315.5984,,;;
Bishop;Guertin;RZ,102.4512,93.9136,113.0976,,,309.4624,,;;;
River;Hill;DH,105.6528,93.9136,60.51024,48.18408,,308.26072,,;;;
Brooklyn;Tech;LT,93.9136,60.51024,146.608,,,301.03184,,;;;
Wayzata;NS,102.4512,93.9136,102.4512,,,298.816,,;;;;
Hendrickson;BS,128.064,111.9552,56,,,296.0192,,;;;;
Crosby;GL,130.6144,116.032,48,,,294.6464,,;;;;
Traverse;City;Central;CP,72.92978,117.392,93.9136,,,284.23538,,;;
CPS;FG,123.3792,159.936,,,,283.3152,,;;;;
Pembroke;Hill;LF,117.392,93.9136,66.11304,,,277.41864,,;;;
Chattahoochee;KP,159.936,117.392,,,,277.328,,;;;;
Lakeland;PS,131.47904,60.51024,80.23456,,,272.22384,,;;;;
Westwood;LR,82.1744,99.456,90,,,271.6304,,;;;;
Brooklyn;Tech;CH,93.9136,55.46772,117.392,,,266.77332,,;;;
Groves;NP,90.39184,58.98948,117.392,,,266.77332,,;;;;
Blue;Valley;North;EJ,170.5984,94.36224,,,,264.96064,,;;
Milton;VG,79.55976,146.608,38.2858,,,264.45356,,;;;;
Blake;NS,117.2864,146.608,,,,263.8944,,;;;;
Dowling;WZ,70.4352,127.9488,64.35216,,,262.73616,,;;;;
Homewood;Flossmoor;GF,90.39184,102.4512,64.35216,,,257.1952,,;;;
Blue;Valley;West;MN,93.9136,162.84,,,,256.7536,,;;
Westminster;MZ,146.608,105.6528,,,,252.2608,,;;;;
Loyola;FM,117.392,133.34664,,,,250.73864,,;;;;
C.E.;Byrd;GN,111.9552,99.456,36,,,247.4112,,;;;
UC;Lab;GY,117.392,125.664,,,,243.056,,;;;
Westminster;HM,125.664,117.392,,,,243.056,,;;;;
Damien;FF,79.76808,92.76288,65.3072,,,237.83816,,;;;;
Westminster;GO,117.392,117.392,,,,234.784,,;;;;
Edgemont;KX,105.6528,128.064,,,,233.7168,,;;;;
St;Marks;KP,123.15072,109.6704,,,,232.82112,,;;;
Leland;AV,117.6,113.0976,,,,230.6976,,;;;;
Reservoir;SS,102.4512,55.46772,70.20524,,,228.12416,,;;;;
New;Trier;KP,72.92978,93.9136,58.98948,,,225.83286,,;;;
UC;Lab;DL,70.4352,93.9136,58.98948,,,223.33828,,;;;
Des;Moines;Roosevelt;HH,119.5264,102.4512,,,,221.9776,,;;
Kent;Denver;BJ,117.392,102.4512,,,,219.8432,,;;;
Baltimore;City;BG,106.07968,113.0976,,,,219.17728,,;;;
Highland;Park;(MN);TS,89.6448,127.9488,,,,217.5936,,;;
Appleton;East;MS,123.15072,93.9136,,,,217.06432,,;;;
St;Marks;TS,117.392,99.456,,,,216.848,,;;;
Dunwoody;HF,99.36024,117.392,,,,216.75224,,;;;;
Bingham;HT,79.76808,131.6352,,,,211.40328,,;;;;
James;Logan;KT,117.2864,93.9136,,,,211.2,,;;;
Wayzata;GL,93.9136,117.2864,,,,211.2,,;;;;
Liberal;Arts;HS,128.064,82.1744,,,,210.2384,,;;;
Dowling;BE,115.2,93.76248,,,,208.96248,,;;;;
Millard;South;GL,70.4352,135.7488,,,,206.184,,;;;
Crosby;GJ,117.392,82.1744,,,,199.5664,,;;;;
Reservoir;RB,105.6528,93.9136,,,,199.5664,,;;;;
Maine;East;HM,90.39184,102.4512,,,,192.84304,,;;;
Pembroke;Hill;GS,127.9488,64.87404,,,,192.82284,,;;;
Saint;Paul;Central;AB,95.9616,93.9136,,,,189.8752,,;;
Heritage;Hall;HP,82.1744,105.6528,,,,187.8272,,;;;
GBS;KK,93.9136,93.76248,,,,187.67608,,;;;;
Caddo;Magnet;JM,130.6144,56,,,,186.6144,,;;;
Northside;EW,90.39184,93.9136,,,,184.30544,,;;;;
St;Vincent;de;Paul;GM,97.9608,83.9664,,,,181.9272,,;
Alpharetta;HS,146.608,32.8164,,,,179.4244,,;;;;
Newark;Science;BM,117.2864,55.46772,,,,172.75412,,;;;
Baltimore;City;MM,170.752,,,,,170.752,,;;;
Brophy;SM,170.752,,,,,170.752,,;;;;
San;Dieguito;GS,55.70784,67.2336,44.8224,,,167.76384,,;;;
Niles;West;KP,72.92978,93.9136,,,,166.84338,,;;;
Lowell;HN,81.16752,83.9664,,,,165.13392,,;;;;
Dowling;AS,70.4352,93.9136,,,,164.3488,,;;;;
East;Kentwood;KS,95.9616,64.35216,,,,160.31376,,;;;
Berkeley;Prep;DD,159.936,,,,,159.936,,;;;
Bronx;Science;MK,159.936,,,,,159.936,,;;;
Dunwoody;DH,159.936,,,,,159.936,,;;;;
National;Cathedral;SS,159.936,,,,,159.936,,;;;
Washburn;Rural;CR,102.4512,56.66832,,,,159.11952,,;;;
Blue;Valley;West;BH,93.9136,64.87404,,,,158.78764,,;;
Shawnee;Mission;East;TM,93.9136,64.87404,,,,158.78764,,;;
GBN;BM,93.9136,64.35216,,,,158.26576,,;;;;
Pace;DH,38.2858,117.392,,,,155.6778,,;;;;
Juan;Diego;CE,100.5312,53.9784,,,,154.5096,,;;;
Centennial;(ID);OO,109.6704,43.2216,,,,152.892,,;;;
Westminster;PY,117.392,32.8164,,,,150.2084,,;;;;
Houston;Memorial;CC,149.2736,,,,,149.2736,,;;;
Leland;LK,83.9664,65.3072,,,,149.2736,,;;;;
Lexington;SX,146.608,,,,,146.608,,;;;;
Acorn;DT,143.9424,,,,,143.9424,,;;;;
Boise;High;DY,100.5312,43.2216,,,,143.7528,,;;;
Atholton;SZ,93.9136,48.18408,,,,142.09768,,;;;;
Kinkaid;BY,93.9136,48,,,,141.9136,,;;;;
Katy;Taylor;KR,89.6448,48,,,,137.6448,,;;;
Damien;MV,69.57216,65.3072,,,,134.87936,,;;;;
Cedar;Rapids;Washington;BL,70.4352,58.98948,,,,129.42468,,;;
New;Trier;BM,128.64,,,,,128.64,,;;;
Centennial;(MD);WH,128.064,,,,,128.064,,;;;
Ft;Lauderdale;MZ,127.9488,,,,,127.9488,,;;;
GBS;KL,127.9488,,,,,127.9488,,;;;;
Barstow;LD,125.664,,,,,125.664,,;;;;
Minneapolis;South;BJ,123.3792,,,,,123.3792,,;;;
Gulliver;SZ,119.65212,,,,,119.65212,,;;;;
Baltimore;City;BB,119.5264,,,,,119.5264,,;;;
New;Trier;MK,119.5264,,,,,119.5264,,;;;
Stratford;SO,119.28,,,,,119.28,,;;;;
ACORN;AJ,117.392,,,,,117.392,,;;;;
Alpharetta;RS,117.392,,,,,117.392,,;;;;
Chattahoochee;AK,117.392,,,,,117.392,,;;;;
Iowa;City;GR,117.392,,,,,117.392,,;;;
Pinecrest;MM,117.392,,,,,117.392,,;;;;
Westminster;GH,117.392,,,,,117.392,,;;;;
Greenhill;DJ,117.2864,,,,,117.2864,,;;;;
Lakeland;BS,117.2864,,,,,117.2864,,;;;;
Minneapolis;South;JT,115.2,,,,,115.2,,;;;
Como;Park;RT,111.9552,,,,,111.9552,,;;;
