Tm,BatAge,R/G(scored),Yr
CIN,29.6,4.62,2006
CLE,27.8,5.37,2006
COL,27.9,5.02,2006
DET,29.3,5.07,2006
FLA,25.6,4.68,2006
HOU,30.5,4.54,2006
KCR,29.4,4.67,2006
LAA,28.8,4.73,2006
LAD,29.8,5.06,2006
MIL,28.8,4.51,2006
MIN,28.3,4.94,2006
NYM,30.1,5.15,2006
NYY,30.9,5.74,2006
OAK,29.5,4.76,2006
PHI,29.3,5.34,2006
PIT,27.8,4.27,2006
SDP,30.7,4.51,2006
SEA,28.6,4.67,2006
SFG,33.5,4.63,2006
STL,29.6,4.85,2006
TBD,27.3,4.25,2006
TEX,28.4,5.15,2006
TOR,28.6,4.99,2006
WSN,28.5,4.60,2006
ARI,30.3,4.30,2005
ATL,28.1,4.75,2005
BAL,31.3,4.50,2005
BOS,31.5,5.62,2005
CHC,29.7,4.34,2005
CHW,29.2,4.57,2005
CIN,28.6,5.03,2005
CLE,27.7,4.88,2005
COL,27.2,4.57,2005
DET,28.5,4.46,2005
FLA,29.7,4.43,2005
HOU,30.2,4.25,2005
KCR,27.6,4.33,2005
LAA,29.7,4.70,2005
LAD,28.6,4.23,2005
MIL,28.4,4.48,2005
MIN,27.6,4.25,2005
NYM,28.8,4.46,2005
NYY,32.4,5.47,2005
OAK,28.6,4.77,2005
PHI,30.0,4.98,2005
PIT,27.4,4.20,2005
SDP,31.0,4.22,2005
SEA,28.9,4.31,2005
SFG,32.2,4.01,2005
STL,30.8,4.97,2005
TBD,27.5,4.63,2005
TEX,28.1,5.34,2005
TOR,28.0,4.78,2005
WSN,29.3,3.94,2005
ANA,28.9,5.16,2004
ARI,28.8,3.80,2004
ATL,28.9,4.96,2004
BAL,30.3,5.20,2004
BOS,30.6,5.86,2004
CHC,30.1,4.87,2004
CHW,28.5,5.34,2004
CIN,28.4,4.63,2004
CLE,28.6,5.30,2004
COL,30.3,5.14,2004
DET,28.2,5.10,2004
FLA,28.9,4.43,2004
HOU,31.8,4.96,2004
KCR,28.7,4.44,2004
LAD,28.9,4.70,2004
MIL,28.5,3.94,2004
MIN,27.8,4.81,2004
MON,27.5,3.92,2004
NYM,29.8,4.22,2004
NYY,32.3,5.54,2004
OAK,29.6,4.90,2004
PHI,29.3,5.19,2004
PIT,27.2,4.22,2004
SDP,29.5,4.74,2004
SEA,31.5,4.31,2004
SFG,31.5,5.25,2004
STL,30.6,5.28,2004
TBD,28.1,4.43,2004
TEX,27.9,5.31,2004
TOR,28.0,4.47,2004
